회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
씨티네트웍스,189540,통신 및 방송 장비 제조업,광통신소재 및 광접속류품,12/24/2013,12월,이재성,http://ctnetworks.co.kr,충청남도
아이케이세미콘,149010,반도체 제조업,비메모리 반도체,11/14/2014,12월,윤경덕,http://www.iksemi.com,서울특별시
에스엠로보틱스,252940,"인형,장난감 및 오락용품 제조업",스크린승마시뮬레이터,9/30/2016,12월,전주식,http://www.tophorse.co.kr,경기도
에스와이제이,251540,봉제의복 제조업,"맨투맨 티셔츠, 아우터, 기타 그 외 의류",5/2/2017,12월,김소영,syj.biz,서울특별시
에스케이씨에스,224020,플라스틱제품 제조업,,7/25/2016,12월,강상구,,경기도
엔에스컴퍼니,224760,토목 건설업,"산업플랜트 건설 및 경상정비, 자동차부품제조판매",7/31/2015,12월,"김동진, 남세우 (각자 대표이사)",http://www.nscompany.co.kr,경상북도
엔지켐생명과학,183490,기초 의약물질 및 생물학적 제제 제조업,"디사이크로세린(의약폼원료), 세파제돈, 세프부페라존",9/25/2013,12월,손기영,http://enzychem.com,충청북도
엠로,058970,소프트웨어 개발 및 공급업,구매 SCM솔루션,4/28/2016,12월,송재민,http://www.emro.co.kr,서울특별시
오스테오닉,226400,의료용 기기 제조업,"의료용 스크류, 플레이트",5/4/2016,12월,이동원,http://www.osteonic.com,서울특별시
유니포인트,121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","소프트웨어 개발, 도소매컴퓨터시스템 설계, 자문",10/24/2014,12월,권은영,http://www.unipoint.co.kr,서울특별시
이엔드디,101360,기타 화학제품 제조업,"매연저감장치, 촉매",7/1/2013,12월,김민용,http://www.endss.com,충청북도
인산가,062580,기타 식품 제조업,"죽염 및 죽염응용, 엑기스류",12/21/2015,12월,김윤세,http://www.insanga.co.kr,경상남도
제놀루션,225220,의약품 제조업,"RNAi, 핵산추출기기",8/3/2015,12월,김기옥,http://www.genolution1.com,서울특별시
제이에스피브이,250300,기타 전기장비 제조업,태양광모듈제조,8/10/2016,12월,이정현,http://www.jspv.co.kr,충청남도
주노콜렉션,221670,"가죽, 가방 및 유사제품 제조업","핸드백, 지갑 등",6/27/2017,12월,김용,http://www.laorh.com,경기도
청광종건,140290,토목 건설업,"관도급, BTL, 자체사업",12/20/2013,12월,허숭,http://www.chungkwang.co.kr,서울특별시
크로넥스,215570,자연과학 및 공학 연구개발업,CRO 및 생물종(미니피그),12/28/2015,12월,손영준,http://www.cronex.co.kr,경기도
탑선,180060,기타 전기장비 제조업,태양광 모듈,10/27/2017,12월,윤정택,http://topsun.kr,전라남도
틸론,217880,소프트웨어 개발 및 공급업,"Cloud Solution (D,A,E,Rstation)",5/28/2015,12월,최백준,http://www.tilon.co.kr,서울특별시
휴벡셀,212310,의료용 기기 제조업,척추용 임플란트 등,7/26/2016,12월,김종우,http://www.diomedical.com,경기도
BNK금융지주,138930,기타 금융업,금융지주회사,3/30/2011,12월,김지완,http://www.bsfng.com,부산광역시
DRB동일,004840,기타 금융업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",5/21/1976,12월,박진삼,http://drbworld.com,부산광역시
E1,017940,기타 전문 도매업,"LPG(프로판,부탄가스),가스기기판매",8/27/1997,12월,구자용 사장,http://www.e1.co.kr,서울특별시
GS건설,006360,건물 건설업,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발",8/3/1981,12월,"허창수, 임병용(각자 대표이사)",http://www.gsconst.co.kr/,서울특별시
JW생명과학,234080,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",10/27/2016,12월,차성남,http://www.jw-lifescience.co.kr,충청남도
